"Code","Club","Address","Observations","City"
"CAT","CATALUNYA E.C.","Rector Triado 53 (Casinet d'Hostafrancs)","","BARCELONA"
"CEN","CENTELLES P.E.","EQUIP A JUGA A CENTELLES . C ST JOAN 14.","EQUIP A DE PREFENT JUGA A CENTELLES, EL EQUIP B DE SEGONA PROV. JUGA AL LOCAL DEL TARADELL , EL PUNTAL , PASSEIG DEL PUJOLÓ 3 DE TARADELL.","CENTELLES"
"CRA","CERAP RIUDOMS","Av. de Pau Casals, 84","Mail: cerap@cerap.cat","RIUDOMS"
"CMA","CERDANYOLA MATARO C.E.","Valencia 92-94 bx","","MATARO"
"PEC","CERDANYOLA VALLES C.E.","Sant Ramon, 180","","CERDANYOLA DEL VALLES"
"CEV","CERVELLO, CLUB D'ESCACS","L'Ateneu. carrer Santa Anna s/n","Al costat del nº1","CERVELLÓ"
"CCB","CIRCOL CATOLIC BADALONA","Sant Anastasi 2","","BADALONA"
"RAP","CLUB D'ESCACS LA RAPITA","c/ Sant Tomas, 62   1er. pis","","LA RAPITA"
"MRX","CLUB ESCACS MiR","Carrer Camí de Fontfreda, 3 (Pavelló Mpal. Miquel Poblet)","","Montcada i Reixac"
"CLB","COLLBLANC C.E.","Rafael Campalans, 16 2n","","L'HOSPITALET DE LLOBREGAT"
"COM","COMTAL C.E.","Pl. del Sortidor 12","Centre Cívic El Sortidor.","BARCELONA"
"CON","CONGRES C.E.","Alexandre Gali, 24","","BARCELONA"
"BLL","CONSELL BAIX LLOBREGAT","","",""
"CEE","CONSELL BARCELONA","","",""
"CBN","CONSELL BARCELONES NORD","","",""
"CCT","CONSELL CAMP DE TARRAGONA","","",""
"CCC","CONSELL CATALUNYA CENTRAL","","",""
"CCA","CONSELL COMARCAL ANOIA","","",""
"TTE","CONSELL TERRES DE L'EBRE","","",""
"VOC","CONSELL VALLES - SABADELL","Pista Coberta de Catalunya","","SABADELL"
"VOR","CONSELL VALLES ORIENTAL","","",""
"CCL","CONSELLS ESPORTIUS DE LLEIDA","","",""
"COS","CONSTANTI, C.E.","Major, 18","","CONSTANTI"
"SJO","COR DE MARINA BADALONA, C.E.","Gúell i Ferrer 86, Badalona- LA MORAL","","BADALONA"
"COR","CORNELLA C.E.","Eduard Gibert, 29","","CORNELLA"
"CUL","CULONGE I SANT ANTONI, C.E.","Carrer Cervantes, 2","Espai Jove","CALONGE"
"DBA","DELEGACIO DE BARCELONA","","",""
"DGI","DELEGACIO DE GIRONA","","",""
"DLL","DELEGACIO DE LLEIDA","","",""
"TGN","DELEGACIO TARRAGONA","","",""
"DDA","DIAGONAL DEL ALFIL","Sant Adria, 20","","Barcelona"
"DSC","DOS TORRES SANT CUGAT, C.E.","C/ Valldoreix 9","Llar d'avis de la Parròquia de Sant Cugat ","SANT CUGAT DEL VALLES"
"DCT","DOTZE CASTELLS C.E.","Nou, 1 (Baixos Casal de la Gent Gran)","","LLERS"
"ELL","EL LLOBREGAT CLUB DE AJEDREZ","TINTS, 5","","SANT BOI DE LLOBREGAT"
"PRA","EL PRAT, C.E.","CARRER CENTRE 42 ,  - PENYA BARCELONISTA","","EL PRAT DE LLOBREGAT"
"SOL","ELEFANT DE SOLSONA","Passeitg Pare Claret, S/N Casal de Cultura i Joventut","Sala d'actes, 2a. planta del Casal de Cultura i Joventut ","SOLSONA"
"EME","ESCAC MAT, CLUB ESCACS","Carrer Puig del Ravell, 6","","MARTORELL"
"ART","ESCACS ARTÉS","Passeig Diagonal 4","","ARTÉS"
"DUE","ESCACS ATENEU DUESAIGÜES","Carreró segon del Planet,  7 ","És el consultori mèdic, situat a 30 metres de l'Ateneu ","DUESAIGUES"
"ECA","ESCOLA CATALANA D'ESCACS - ECADE","Aribau, 87 Pral 1a.","","BARCELONA"
"LES","ESPIGA DE LES CORTS","Joan Gamper, 30","","BARCELONA"
"ESF","ESPLUGA DE FRANCOLÍ, CLUB ESCACS","Avinguda dels Països Catalans s/n - CASALET","","L'ESPLUGA DE FRANCOLÍ"
"EEE","ESPLUGUENC, C.E.E.","Josep Miquel Quintana, 6-8 Local 2","Aparcament públic gratuït a 350m, Carrer de Josep Anselm Clavé, 114I, 08950 Esplugues de Llobregat, Barcelona","ESPLUGUES DE LLOBREGAT"
"ESP","ESPLUGUES L'AVENC C.E.","Angel Guimera, 27-29","","ESPLUGUES DE LLOBREGAT"
"FEX","FEDERACIO EXTERNA","Sant Adria 20","","Barcelona"
"FIG","FIGUERES C.E.","Poeta Marquina, 2 (Antics Jutjats)","L'equip de Divisió d'Honor jugarà a la Fundacio Clerch i Nicolau C/ Nou ,53 de Figueres","Figueres"
"FDD","FLANC DE DAMA, CLUB ESCACS","PAU CLARIS, 10","","LLEIDA"
"FLI","FLIX C.E.","Plaça l'Esglesia,1 ","El local de joc està situat damunt del BBVA","FLIX"
"FOM","FOMENT MARTINENC C.E.","Provença, 591-593","escacs@fomentmartinenc.org","BARCELONA"
"FOR","FORNELLS, CLUB D'ESCACS","Plaça Catalunya, s/n, Local d'Entitats","LOCAL D'ENTITATS, al costat de l'esglèsia i davant de la granja MORA.","Fornells de la Selva"
"GAN","GANDESANA C.E.","Rbla.Democracia, 2","","GANDESA"
"GAV","GAVA C.E.","Carrer del Centre nº 3-5","Local amb accesibilitat .L'Ajuntament el cedeix per a les competicions.","GAVA"
"GEL","GELIDA, CLUB D'ESCACS","MAJOR, 14","","GELIDA"
"GER","GERUNDA, C.E.","Saragossa, 27","","GIRONA"
"AND","GEVA-CEA C.E.","Els equips GEVA-CEA A i GEVA-CEA B jugaran els seus encontres a la seu social del G.E.V.A.: Avinguda de les Escoles 16, 3r 2ª (Escaldes-Engordany). Els equips GEVA-CEA C i GEVA-CEA D jugaran els seus ","Els equips GEVA-CEA A i GEVA-CEA B jugaran els seus encontres a la seu social del G.E.V.A.: Avinguda de les Escoles 16, 3r 2ª (Escaldes-Engordany)  Els equips GEVA-CEA C i GEVA-CEA D jugaran els seus encontres a la seu social del C.E.A.: Centre Esportiu dels Serradells, 2ª planta (Andorra la Vella)  A la nostra pàgina web teniu més informació sobre com arribar a les dues sales de joc: https://www.escacsandorra.com/geva-cea/ ","Escaldes-Engordany"
"GRM","GRAMENET CLUB ESCACS","C. Sant Ramon, 20","","Santa Coloma de Gramenet"
"GPV","GRAN PENYA VILANOVA C.E.","Rambla Principal, 52","escacsgp@gmail.com","VILANOVA I LA GELTRU"
"GRA","GRANOLLERS-CANOVELLES","Auditori Can Palots C/Barcelona 8-10, Canovelles ","Equips A i E Juguen a Casino de Granollers  Agustí Vinyamata 21 08400 Granollers Equips B-C-D Auditori Can Palots C/Barcelona 8-10 de Canovelles","GRANOLLERS"
"GUG","GREEN URBAN GAMES, CLUB ESPORTIU","JOAN GAMPER, 27","","BARCELONA"
"SFG","GUIXOLENC C.E."," Carrer de Gravina, 39, 41 (Casal de Tueda-Apite)","","Sant Feliu de Guíxols"
"HOR","HORTENC, ATENEU CULTURAL C.E.","Pere Pau, 6 - 8","","BARCELONA"
"BLV","HOSPITALET BELLVITGE CLUB D'ESCACS","Av. Europa, 230  (Altillo)","(el telèfon correspon a la junta gestora9","L'HOSPITALET DE LLOBREGAT"
"HIF","HOSPITALET DE L'INFANT C.E.","Casal de l'Hospitalet - Urbanizacio Hifrensa, s/n","","L'HOSPITALET DE L'INFANT"
"HTR","HOSTALRIC CLUB ESCACS","RAVALET, 71","Planta Baixa. Local adaptat.","HOSTALRIC"
"ICL","IDEAL D'EN CLAVE C.E.","Carrer Viladrosa 96","Iglesia San Sebastian, Verdum","BARCELONA"
"IGU","IGUALADA - ATENEU","Ateneu Igualadí-C/ Sant Pau,9","","IGUALADA"
"IVA","IVARS D'URGELL C.E.","Avinguda del Primer de Maig, num 19","","Ivars d'Urgell"
"JAK","JAKE C.E.","Montseny, 29  Bis Entlo","","L'HOSPITALET DE LLOBREGAT"
"JUN","JUNEDA C.E.","Roger de Lluria, 13 (Complex Cultural)","","JUNEDA"
"LAM","L'AMPOLLA, CLUB ESCACS","Plaça Manel Ferrer nº 2 ( Al costat de l'ajuntament )","","L'AMPOLLA"
"LST","L'ESTANY, CLUB ESCACS","Carrer Major, 27","","L'ESTANY"
"BIP","LA BISBAL EMPORDA C.E.","C/ de l'aigüeta, 1. Edifici Torre Bisbal","Recentment ha canviat el nom del carrer.","LA BISBAL D'EMPORDA"
"LIR","LA LIRA, C.E.","C/ Abat Odó 22-24, baixos","","BARCELONA"
"PAS","LA PASSIO D'ESPARREGUERA, C.E.","Passeig Francesc de Marimon, 83-89","","ESPARREGUERA"
"LPC","LA POBLA DE CLARAMUNT, CLUB DE TENNIS","Josep Aguilera, 2","","LA POBLA DE CLARAMUNT"
"SEL","LA SELVA DEL CAMP, C.E.","Carrer Tarragona, 10 Hort Iglésies CASAL JOVE ","","LA SELVA DEL CAMP"
"SEU","LA SEU D'URGELL, C.E.","Passeig Joan Budrieu, s/n","","LA SEU D'URGELL"
"FRA","LES FRANQUESES, C.E.","El Consell del Poble de Llerona, Camí Can Toni, s/n","Antigues escoles de Llerona","LES FRANQUESES"
"LIL","LILLET C.E.","Pavelló Esportiu: C/Àngel Guimerà 4","","LA POBLA DE LILLET"
"VEN","LIRA VENDRELLENCA","Sant Jordi, 7","Local adaptat per a persones amb discapacitat física.","EL VENDRELL"
"LLA","LLAVANERES, CLUB ESCACS","Pg. Mare de Déu de Montserrat, 35 (Casal de la Gent Gran)","","SANT ANDREU DE LLAVANERES"
"LLE","LLEIDA C.E.","Nord, 32, 1. 2","","LLEIDA"
"LDV","LLIÇA DE VALL, ESCACS","BV-1602, 73, 08185 Lliçà de Vall, Barcelona","Caseta blanca al costat de la biblioteca (Antic registre civil)","Lliçà de Vall"
"LLV","LLINARS, CLUB D'ESCACS","Prat de la Riba, 17","","LLINARS DEL VALLES"
"LLO","LLORET, CLUB ESCACS","Avda. Vidreres 58 (El Puntet)","","LLORET DE MAR"
"MQC","MABEPA QUATRE CAMINS","Carretera del Masnou a Granollers, PQ 13,425","","LA ROCA DEL VALLES"
"MAL","MALGRAT C.E.","Travessera del Mercat,  5 2° pis ascensor MALGRAT DE MAR","","MALGRAT DE MAR"
"MNL","MANLLEU CLUB ESCACS","Carrer de la Font 29","","MANLLEU"
"MAR","MARAGALL, JOAN AVV C.E.","La Bisbal, 40-42 baixos","","BARCELONA"
"MBL","MARITIM BLANES, CLUB ESCACS","CANIGO, 1","","BLANES"
"MRT","MARTORELL C.E.","Av  Felix Duran i Cañameras, 1 (espai d'entitats)","","MARTORELL"
"MSD","MASDENVERGE C.E.","Montsia, 15 baixos","","MASDENVERGE"
"MAS","MASNOU C.E.","Sant Felip, 2","","EL MASNOU"
"MTD","MATADEPERA C.E.","Carretera de Terrassa 35","","MATADEPERA"
"MAT","MATARO C.E","Bonaire 25 1er","","MATARO"
"MOI","MOIA MOIANES C.E.","De les Joies, 11-13","","MOIA"
"MLN","MOLI NOU C.C.","Pau Casals 7","","SANT BOI DE LLOBREGAT"
"MLR","MOLINS DE REI C.E. FOMENT","Passeig del Terraple, 49","La secció d'escacs és al fons del bar, pujant les escales.","MOLINS DE REI"
"MLS","MOLLERUSSA","Carrer Ciutat de Lleida 1 - 2a planta - Mollerussa","Teatre L'Amistat (entrant pel Carrer Ciutat de Lleida)","MOLLERUSSA"
"MLL","MOLLET, CLUB D'ESCACS","C/ Pineda Fosca, 6","","MOLLET DEL VALLES"
"MOB","MONTBLANC C.E.","Poblet i Teixido, 10, 1er.","","MONTBLANC"
"SMM","MONTBUI C.E.","Anselm Clave, 3","","STA. MARGARIDA DE MONTBUI"
"MNG","MONTGRI, C.E.","c/ Major, 31","","TORROELLA DE MONTGRI"
"MTM","MONTMELO C.E.","Folch i Torres, s/n  Centre Cultural 'La Torreta'","","MONTMELO"
"MTN","MONTORNES C.E.","c/ mayor 2"," edificio de la radio de montornes ( CAN SAURINA )","MONTORNES DEL VALLES"
"NAV","NAVARCLES CLUB ESCACS","Passeig Cervantes, 1A, 2 planta","","NAVARCLES"
"OLE","OLESA C.E.","Salvador Casas, 11 1r-4a.","","OLESA DE MONTSERRAT"
"OLO","OLOT","Passeig d'en Blai 6, 1r (Casino Olotí)","Telefon: 972 26 38 28 (dilluns a divendres de 18 a 20 hores)","OLOT"
"ONC","ONCE BARCELONA","Sepulveda 1","Imprescindible que cada jugador estigui acreditat amb el seu DNI.","BARCELONA"
"PAL","PALAFRUGELL C.E.","Pl. Mirepoix 5","","PALAFRUGELL"
"PAA","PALAU AUSIT CLUB ESCACS","POLIESPORTIU MUNICIPAL DE RIPOLLET. CARRER MAGALLANES S/N.  EDIFICI DE LA PISCINA COBERTA.","PIS SUPERIOR DE L'EDIFICI DE LA PISCINA COBERTA DEL POLIESPORTIU MUNICIPAL DE RIPOLLET. SITUAT AL CARRER MAGALLANES S/N.","RIPOLLET"
"PPL","PALAU DE PLEGAMANS C.E.","Passeig de la Carrerada,55 (Pavelló Municipal d'Esports Maria Victor)","","PALAU-SOLITA I PLEGAMANS"
"PAJ","PALLEJA, CLUB ESCACS","Pl. de la Llum, s/n-(C/Mare de Déu de Loreto, 20) . Sala Pal.ladius","clubescacspalleja@gmail.com","PALLEJA"
"PAR","PARDINYES, C.E.","Sant Pere Claver, 1","","Lleida"
"PTN","PARETANA D'ESCACS, ASSOCIACIO","Av. Francesc Macia, s/n","pavelló d'esports municipal Joaquim Rodríguez","PARETS DEL VALLES"
"PEM","PENYA MOLLET XXI, CLUB D'ESCACS","Rambla de Balmes, 2, 1a Planta - CASAL CULTURAL","","Mollet del Vallès"
"PEO","PEO VUIT, C.E.","Centre Civic Urb. Torre d'en Gil, S/n","","ROQUETES"
"PDB","PEON DOBLADO","Av. Línia Elèctrica, 1","Espai Esportiu Sant Ildefons. Local adaptat","Cornellà de Llobregat"
"PNE","PEON NEGRO, CLUB D'ESCACS","COMTES DE BELL-LLOC, 111 BJS.","","BARCELONA"
"PIP","PEONA I PEO, C.E.","Pl. de Salvador Riera, 2","","BARCELONA"
"TOS","PEONS DE TOSSA CLUB ESCACS","Av. Pelegrí, 25, Tossa de Mar","1a planta (és l'edifici on està l'ajuntament). Local adaptat.  ","TOSSA DE MAR"
"BRU","PEONS DEL BRUC, CLUB D'ESCACS","Casal del Bruc. C/ Parròquia s/n  *(mireu  observacions)","Els dies 22 /1/23 i 5/3/23 el local de Joc serà a l'adreça c/ Bruc del Mig, 55.","El Bruc"
"PIN","PINEDA CLUB ESCACS","Passeig Diputació, 9 (Centre Cívic Poblenou)","El local està adaptat per accedir-hi les persones amb mobilitat reduïda i els serveis també estàn adaptats","PINEDA DE MAR"
"PDA","PLATJA D'ARO, CLUB ESCACS","Plaça Poeta Sitjà 4, Castell d'Aro (GIRONA)","ESPAI ESCOLES VELLES","CASTELL - PLATJA D'ARO"
"CPP","PONENT CLUB ESCACS","Carrer Victòria Kent s/n","","Lleida"
"PON","PONTS C.E.","Alberg Los Hermanos, C/ Secla, 2","","PONTS"
"RDP","REUS DEPORTIU","C/.Gaudi­, 66","Es jugarà a la secciò d'escacs del Reus Deportiu o a la Sala polivalent del Reus Deportiu. ","REUS"
"REU","REUS ESCACS C.E.","C/Orient, 17","Seu de l'Associacio Excursionista Catalunya de Reus","REUS"
"RIB","RIBES, PENYA D'ESCACS","Carrer nou, 40","Can Salvador Miret, primer pis","SANT PERE DE RIBES"
"RPL","RIPOLLET - PALAU AUSIT","Carrer Magallanes, 22- 26","PATRONAT MUNICIPAL D'ESPORTS. PRIMER PIS. PAME (POLIESPORTIU MUNICIPAL DE RIPOLLET, EDIFICI PISCINA COBERTA).","RIPOLLET"
"RSE","RIU SENIA, CLUB ESCACS","C. del Crist de la Mar 106, baix","","BENICARLO"
"RUB","RUBINENCA, AGRUPACIO D'ESCACS","Carrer de Terrassa 59 - 61, (Escola d'Adults)","Contacte: escacsrubi@gmail.com  Local: No es pot aparcar al voltant, zona peatonal. Recomanem l'Escardívol (c/Joaquim Blume s/n)","RUBÍ"
"RLO","RUY LOPEZ, CLUB ESCACS","C/ Sant Pasqual, 22 baixos","DIUMENGES ZONA BLAVA GRATUITA","VINARÒS"
"EES","SALAURIS CLUB D'ESCACS","Mossén Josep Llauradó i Piñol s/n","Parc Botànic Salou","SALOU"
"SAD","SANT ADRIA C.E.","Ricart,6 ","","SANT ADRIA DE BESOS"
"SAN","SANT ANDREU C.E.","Pons i Gallarza, 58-60","","BARCELONA"
"SBO","SANT BOI C.E.","c/ Miquel, nº 2 (Casal de Barri Mariano)","","SANT BOI DE LLOBREGAT"
"SBL","SANT BOI DE LLUÇANES, C.E.","Local de l'Ajuntament.- Passeig del Lluçanès, 8","Local de joc adaptat","SANT BOI DE LLUÇANES"
"SCU","SANT CUGAT CLUB ESCACS","Mallorca, 42","","SANT CUGAT DEL VALLES"
"SES","SANT ESTEVE, C.E.","Dr.Pau Costas, 49 (Centre Cívic Domènech i Estapà)","","SANT ESTEVE SESROVIRES"
"SFE","SANT FELIU C.E.U.C.","Passeig Bertrand, 13","","SANT FELIU DE LLOBREGAT"
"SGR","SANT GREGORI C.E.","Rocacorba, 6","","SANT GREGORI"
"SJV","SANT JOAN C.E.","C/Alzines, 20 1er","","SANT JOAN DE VILATORRADA"
"SJD","SANT JOAN DESPI C.E.","Plaça de l'Estatut, 5","","SANT JOAN DESPI"
"SMA","SANT MARTI C.E.","carrer de la Selva de Mar, 215","Edifici Centre Cívic Sant Martí","BARCELONA"
"SQV","SANT QUIRZE DEL VALLES","Carrer Nou, 10, 2n pis","","SANT QUIRZE DEL VALLES"
"SCQ","SANTA COLOMA DE QUERALT, A.E.","Pati Castell Planta nº4","","STA.COLOMA DE QUERALT"
"SEG","SANTA EUGENIA ESCACS","Ctra. Santa Eugenia, 146","","GIRONA"
"SMP","SANTA MARIA DE PALAUTORDERA, C. E.","Empordà nº30. C.P.(08460). Santa Maria de Palautordera","","SANTA MARIA DE PALAUTORDERA"
"SAP","SANTPEDOR C.E.","Plaça Gran, 10  (Ca l'Arola)","","SANTPEDOR"
"SCE","SECRETARIAT D'ENTITATS DE SANTS I HOSTAFRANCS","SANTS, 79","","BARCELONA"
"SIT","SITGES PRADO SUBURENC, P.E.","Passeig Marítim de Sitges, 92-94   Sitges","Hotel Sunway Playa Golf & Spa ****","SITGES"
"CCS","SOCIETAT CORAL COLON SABADELL","Av. Onze de setembre 125","El nou local de l'equip de DIVISIÓ D'HONOR del Còlon Sabadell Ionehipotecas.com, a partir d'aquest dissabte 24 de febrer de 2024, serà el de l'Avinguda Onze de Setembre 111 de Sabadell","SABADELL"
"SWA","SUNWAY SITGES CLUB ESCACS","Passeig Marítim de Sitges, 92-94","Hotel Sunway Playa Golf & Spa ****","Sitges"
"SUR","SURIA C.E.","PASSATGE JERONI MARTORELL, 2, 1A PLANTA  08260 SÚRIA (BARCELONA)","Adaptat per minusvalits","SURIA"
"PDE","TARADELL, PARC D'ESPORT C.E."," EQUIP A CENTELLES - EQUIP B JUGA A TARADELL ,EL PUNTAL, PASSEIG DEL PUJOLÓ 3  TARADELL","EQUIP  B JUGUA AL LOCAL DE TARADELL, L EQUIP A DE PREFERENT JUGA AL LOCAL DEL CENTELLES,  PASSEIG SANT JOAN 14 BAIXOS DE  CENTELLES. ","TARADELL"
"TAR","TARRAGONA C.E.","Fra Antoni Cardona i Grau, 7-A Bloc Dta. A-2 Bxs","","TARRAGONA"
"TAG","TARREGA C.E.","Ateneu de Tàrrega, Plaça del Carme 14","","TARREGA"
"TER","TERRASSA DEL CSC, C.E.","Font Vella, 40","","TERRASSA"
"TON","TONA-LA CREMA CLUB ESCACS","Ctra. Manresa 2","","TONA"
"TOR","TORA C.E.","Plaça del Pati, 2","","TORA"
"TOD","TORDERA C.E.","Ciutadans, 16 1r","Alerta els diumenges hi ha mercat.","TORDERA"
"TBL","TORREBLANCA,  CLUB ESCACS","AV. ISABEL LA CATOLICA, 32","Local adaptat a persones amb mobilitat reduïda","L'HOSPITALET DE LLOBREGAT"
"TRB","TORREDEMBARRA C.E.","Capella, 6","","TORREDEMBARRA"
"CET","TORREFARRERA, C.E.","Plaça Farreria s/n","","Torrefarrera"
"TRN","TORRENEGRA C.E.","València, 410 baixos","","BARCELONA"
"TOT","TORTOSA C.E.","Pl.Mestre Monclus ","","TORTOSA"
"TPE","TRES PEONS C.E.","Ros de Olano, 9","","BARCELONA"
"ULL","ULLASTRELL C.E.","Casal Cultural","c/ Josep Fornell s/n. Per la carretera d'Olesa. (BV-1202)","ULLASTRELL"
"UDM","ULLDEMOLINS, CLUB D'ESCACS","Centre Cívic. Carrer Saltadora, 26, 2n pis","","Ulldemolins"
"VDT","VALL DEL TENES, CLUB ESCACS","Camí­ del Gual, s/n","","STA. EULALIA DE RONÇANA"
"VAF","VALLFOGONA C.E.","Escoles, 2","","VALLFOGONA DE BALAGUER"
"VEC","VALLROMANES, ESCACS CLUB","Per jugar la Lliga Catalana 2024: CLUB DE GOLF DE VALLROMANES, Passeig de la Torre Tavernera, s/n, 08188 Vallromanes","","VALLROMANES"
"VAL","VALLS C.E.","Plaça Sant Jordi, 3-4 baixos ","Els equips A i B del club escacs Valls jugaran a l'Hotel Class de Valls situat a Passeig President Tarradellas s/n.   ","VALLS"
"VIC","VIC, C.E.","Verdaguer, 5","https://www.instagram.com/clubescacsvic/","VIC"
